date,number_of_checks-no_verification,os-se,count-nombre
2021-07-25,0,ios,0
2021-07-25,1-6,android,0
2021-07-25,1-6,ios,9
2021-07-25,7-12,android,0
2021-07-25,7-12,ios,35
2021-07-25,13-30,android,0
2021-07-25,13-30,ios,0
2021-07-25,30+,android,0
2021-07-25,30+,ios,0
2021-08-01,0,android,0
2021-08-01,0,ios,0
2021-08-01,1-6,android,4
2021-08-01,1-6,ios,15
2021-08-01,7-12,android,3
2021-08-01,7-12,ios,25
2021-08-01,13-30,android,2
2021-08-01,13-30,ios,0
2021-08-01,30+,android,0
2021-08-01,30+,ios,0
2021-08-08,0,android,0
2021-08-08,0,ios,0
2021-08-08,1-6,android,4
2021-08-08,1-6,ios,10
2021-08-08,7-12,android,3
2021-08-08,7-12,ios,20
2021-08-08,13-30,android,1
2021-08-08,13-30,ios,0
2021-08-08,30+,android,1
2021-08-08,30+,ios,0
2021-08-15,0,android,0
2021-08-15,0,ios,0
2021-08-15,1-6,android,16
2021-08-15,1-6,ios,31
2021-08-15,7-12,android,6
2021-08-15,7-12,ios,27
2021-08-15,13-30,android,3
2021-08-15,13-30,ios,0
2021-08-15,30+,android,3
2021-08-15,30+,ios,0
2021-08-22,0,android,0
2021-08-22,0,ios,0
2021-08-22,1-6,android,12
2021-08-22,1-6,ios,19
2021-08-22,7-12,android,0
2021-08-22,7-12,ios,29
2021-08-22,13-30,android,1
2021-08-22,13-30,ios,1
2021-08-22,30+,android,0
2021-08-22,30+,ios,0
2021-08-29,0,android,0
2021-08-29,0,ios,0
2021-08-29,1-6,android,5
2021-08-29,1-6,ios,18
2021-08-29,7-12,android,0
2021-08-29,7-12,ios,44
2021-08-29,13-30,android,0
2021-08-29,13-30,ios,2
2021-08-29,30+,android,0
2021-08-29,30+,ios,0
2021-09-05,0,android,0
2021-09-05,0,ios,0
2021-09-05,1-6,android,0
2021-09-05,1-6,ios,14
2021-09-05,7-12,android,0
2021-09-05,7-12,ios,51
2021-09-05,13-30,android,0
2021-09-05,13-30,ios,0
2021-09-05,30+,android,0
2021-09-05,30+,ios,0
2021-09-12,0,android,0
2021-09-12,0,ios,0
2021-09-12,1-6,android,5
2021-09-12,1-6,ios,13
2021-09-12,7-12,android,0
2021-09-12,7-12,ios,21
2021-09-12,13-30,android,0
2021-09-12,13-30,ios,0
2021-09-12,30+,android,0
2021-09-12,30+,ios,0
2021-09-19,0,android,0
2021-09-19,0,ios,0
2021-09-19,1-6,android,18
2021-09-19,1-6,ios,14
2021-09-19,7-12,android,3
2021-09-19,7-12,ios,30
2021-09-19,13-30,android,3
2021-09-19,13-30,ios,0
2021-09-19,30+,android,1
2021-09-19,30+,ios,0
